Entry	Entry name	Gene names	Organism	Length
Q4C5R2	Q4C5R2_CROWT	CwatDRAFT_4471	Crocosphaera watsonii WH 8501	138
Q4BYM6	Q4BYM6_CROWT	CwatDRAFT_1758	Crocosphaera watsonii WH 8501	209
Q4C1F5	Q4C1F5_CROWT	CwatDRAFT_2963	Crocosphaera watsonii WH 8501	489
Q4C4N9	Q4C4N9_CROWT	CwatDRAFT_4177	Crocosphaera watsonii WH 8501	247
Q4BYD1	Q4BYD1_CROWT	CwatDRAFT_1748	Crocosphaera watsonii WH 8501	544
Q4C2M1	Q4C2M1_CROWT	CwatDRAFT_3255	Crocosphaera watsonii WH 8501	57
Q4C877	Q4C877_CROWT	CwatDRAFT_5806	Crocosphaera watsonii WH 8501	97
Q4C8B6	Q4C8B6_CROWT	rpmI rpl35 CwatDRAFT_5827	Crocosphaera watsonii WH 8501	75
Q4BV16	Q4BV16_CROWT	CwatDRAFT_0469	Crocosphaera watsonii WH 8501	434
Q4C156	Q4C156_CROWT	rplR rpl18 CwatDRAFT_2393	Crocosphaera watsonii WH 8501	120
Q4C6Y9	Q4C6Y9_CROWT	CwatDRAFT_4929	Crocosphaera watsonii WH 8501	321
Q4C204	Q4C204_CROWT	pepA CwatDRAFT_2839	Crocosphaera watsonii WH 8501	489
Q4C052	Q4C052_CROWT	CwatDRAFT_2119	Crocosphaera watsonii WH 8501	164
Q4C547	Q4C547_CROWT	CwatDRAFT_4425	Crocosphaera watsonii WH 8501	560
Q4BZW9	Q4BZW9_CROWT	CwatDRAFT_1997	Crocosphaera watsonii WH 8501	245
Q4BUG9	Q4BUG9_CROWT	CwatDRAFT_0096	Crocosphaera watsonii WH 8501	109
Q4CAA8	Q4CAA8_CROWT	CwatDRAFT_6180	Crocosphaera watsonii WH 8501	262
Q4C1D7	Q4C1D7_CROWT	CwatDRAFT_2956	Crocosphaera watsonii WH 8501	102
Q4C5K2	Q4C5K2_CROWT	CwatDRAFT_4510	Crocosphaera watsonii WH 8501	128
Q4C402	Q4C402_CROWT	CwatDRAFT_3938	Crocosphaera watsonii WH 8501	401
Q4C421	Q4C421_CROWT	CwatDRAFT_3734	Crocosphaera watsonii WH 8501	335
Q4C3N6	Q4C3N6_CROWT	CwatDRAFT_3885	Crocosphaera watsonii WH 8501	300
Q4BWD3	Q4BWD3_CROWT	CwatDRAFT_1204	Crocosphaera watsonii WH 8501	1001
Q4BV30	Q4BV30_CROWT	CwatDRAFT_0107	Crocosphaera watsonii WH 8501	108
Q4CA44	Q4CA44_CROWT	CwatDRAFT_6563	Crocosphaera watsonii WH 8501	334
Q4BUM1	Q4BUM1_CROWT	CwatDRAFT_0124	Crocosphaera watsonii WH 8501	91
Q4BZK7	Q4BZK7_CROWT	CwatDRAFT_2226	Crocosphaera watsonii WH 8501	256
Q4C7H2	Q4C7H2_CROWT	CwatDRAFT_5593	Crocosphaera watsonii WH 8501	286
Q4BXR5	Q4BXR5_CROWT	CwatDRAFT_1471	Crocosphaera watsonii WH 8501	130
Q4C652	Q4C652_CROWT	CwatDRAFT_4714	Crocosphaera watsonii WH 8501	98
Q4CAH1	Q4CAH1_CROWT	CwatDRAFT_6143	Crocosphaera watsonii WH 8501	90
Q4C0W0	Q4C0W0_CROWT	CwatDRAFT_2538	Crocosphaera watsonii WH 8501	508
Q4C709	Q4C709_CROWT	CwatDRAFT_5167	Crocosphaera watsonii WH 8501	297
Q4BUS8	Q4BUS8_CROWT	CwatDRAFT_0392	Crocosphaera watsonii WH 8501	179
Q4BZH8	Q4BZH8_CROWT	CwatDRAFT_2080	Crocosphaera watsonii WH 8501	141
Q4C3N1	Q4C3N1_CROWT	CwatDRAFT_3857	Crocosphaera watsonii WH 8501	60
Q4C6Y8	Q4C6Y8_CROWT	CwatDRAFT_4930	Crocosphaera watsonii WH 8501	99
Q4BXI1	Q4BXI1_CROWT	CwatDRAFT_1879	Crocosphaera watsonii WH 8501	183
Q4BY89	Q4BY89_CROWT	CwatDRAFT_0933	Crocosphaera watsonii WH 8501	218
Q4CA96	Q4CA96_CROWT	ndk CwatDRAFT_6188	Crocosphaera watsonii WH 8501	149
Q4CAX7	Q4CAX7_CROWT	coaX CwatDRAFT_6048	Crocosphaera watsonii WH 8501	255
Q4C469	Q4C469_CROWT	pgi CwatDRAFT_4146	Crocosphaera watsonii WH 8501	528
Q4BZP5	Q4BZP5_CROWT	cobQ CwatDRAFT_2173	Crocosphaera watsonii WH 8501	494
Q4C4N1	Q4C4N1_CROWT	hemF CwatDRAFT_4183	Crocosphaera watsonii WH 8501	343
Q4BZX3	Q4BZX3_CROWT	CwatDRAFT_1994	Crocosphaera watsonii WH 8501	1240
Q4BXP2	Q4BXP2_CROWT	CwatDRAFT_1823	Crocosphaera watsonii WH 8501	179
Q4BUU0	Q4BUU0_CROWT	CwatDRAFT_0147	Crocosphaera watsonii WH 8501	285
Q4C9Q6	Q4C9Q6_CROWT	CwatDRAFT_6494	Crocosphaera watsonii WH 8501	158
Q4C2S0	Q4C2S0_CROWT	pdxJ CwatDRAFT_3095	Crocosphaera watsonii WH 8501	240
Q4C1K5	Q4C1K5_CROWT	CwatDRAFT_3186	Crocosphaera watsonii WH 8501	144
Q4C9F9	Q4C9F9_CROWT	CwatDRAFT_6434	Crocosphaera watsonii WH 8501	289
Q4CAI0	Q4CAI0_CROWT	groL groEL CwatDRAFT_6138	Crocosphaera watsonii WH 8501	562
Q4BWJ6	Q4BWJ6_CROWT	CwatDRAFT_1075	Crocosphaera watsonii WH 8501	138
Q4C068	Q4C068_CROWT	CwatDRAFT_2638	Crocosphaera watsonii WH 8501	217
Q4C1F6	Q4C1F6_CROWT	CwatDRAFT_2940	Crocosphaera watsonii WH 8501	239
Q4C7A9	Q4C7A9_CROWT	CwatDRAFT_5622	Crocosphaera watsonii WH 8501	78
Q4BYW5	Q4BYW5_CROWT	CwatDRAFT_1789	Crocosphaera watsonii WH 8501	59
Q4BZF9	Q4BZF9_CROWT	CwatDRAFT_2266	Crocosphaera watsonii WH 8501	124
Q4C611	Q4C611_CROWT	CwatDRAFT_4735	Crocosphaera watsonii WH 8501	210
Q4BZX8	Q4BZX8_CROWT	CwatDRAFT_2005	Crocosphaera watsonii WH 8501	377
Q4C5G3	Q4C5G3_CROWT	CwatDRAFT_4603	Crocosphaera watsonii WH 8501	104
Q4BVP0	Q4BVP0_CROWT	CwatDRAFT_0618	Crocosphaera watsonii WH 8501	494
Q4C8W5	Q4C8W5_CROWT	CwatDRAFT_5310	Crocosphaera watsonii WH 8501	428
Q4C9U6	Q4C9U6_CROWT	CwatDRAFT_6275	Crocosphaera watsonii WH 8501	259
Q4BWG9	Q4BWG9_CROWT	CwatDRAFT_1427	Crocosphaera watsonii WH 8501	137
Q4C541	Q4C541_CROWT	CwatDRAFT_4419	Crocosphaera watsonii WH 8501	284
Q4C9N5	Q4C9N5_CROWT	CwatDRAFT_6312	Crocosphaera watsonii WH 8501	179
Q4C8N7	Q4C8N7_CROWT	ndhO CwatDRAFT_5884	Crocosphaera watsonii WH 8501	72
Q4C9J7	Q4C9J7_CROWT	CwatDRAFT_6330	Crocosphaera watsonii WH 8501	80
Q4C959	Q4C959_CROWT	CwatDRAFT_5975	Crocosphaera watsonii WH 8501	332
Q4C4R3	Q4C4R3_CROWT	CwatDRAFT_4266	Crocosphaera watsonii WH 8501	123
Q4C317	Q4C317_CROWT	CwatDRAFT_3569	Crocosphaera watsonii WH 8501	533
Q4C884	Q4C884_CROWT	CwatDRAFT_5813	Crocosphaera watsonii WH 8501	166
Q4C0I3	Q4C0I3_CROWT	CwatDRAFT_1958	Crocosphaera watsonii WH 8501	107
Q4C0S3	Q4C0S3_CROWT	CwatDRAFT_2891	Crocosphaera watsonii WH 8501	251
Q4C3H3	Q4C3H3_CROWT	CwatDRAFT_3675	Crocosphaera watsonii WH 8501	370
Q4BWW5	Q4BWW5_CROWT	CwatDRAFT_1259	Crocosphaera watsonii WH 8501	490
Q4C7T4	Q4C7T4_CROWT	CwatDRAFT_5538	Crocosphaera watsonii WH 8501	220
Q4C1Y8	Q4C1Y8_CROWT	CwatDRAFT_3304	Crocosphaera watsonii WH 8501	119
Q4C1K3	Q4C1K3_CROWT	CwatDRAFT_3213	Crocosphaera watsonii WH 8501	78
Q4BY65	Q4BY65_CROWT	CwatDRAFT_1422	Crocosphaera watsonii WH 8501	164
Q4C239	Q4C239_CROWT	CwatDRAFT_2995	Crocosphaera watsonii WH 8501	199
Q4BZM8	Q4BZM8_CROWT	CwatDRAFT_2386	Crocosphaera watsonii WH 8501	269
Q4C4A9	Q4C4A9_CROWT	CwatDRAFT_4011	Crocosphaera watsonii WH 8501	424
Q4C7T2	Q4C7T2_CROWT	CwatDRAFT_5539	Crocosphaera watsonii WH 8501	281
Q4C8E7	Q4C8E7_CROWT	CwatDRAFT_5412	Crocosphaera watsonii WH 8501	92
Q4C3B9	Q4C3B9_CROWT	CwatDRAFT_3599	Crocosphaera watsonii WH 8501	392
Q4BYH4	Q4BYH4_CROWT	CwatDRAFT_1927	Crocosphaera watsonii WH 8501	187
Q4C8Q3	Q4C8Q3_CROWT	CwatDRAFT_5893	Crocosphaera watsonii WH 8501	679
Q4C2R7	Q4C2R7_CROWT	CwatDRAFT_3093	Crocosphaera watsonii WH 8501	210
Q4CB05	Q4CB05_CROWT	CwatDRAFT_6031	Crocosphaera watsonii WH 8501	90
Q4BUR3	Q4BUR3_CROWT	CwatDRAFT_0396	Crocosphaera watsonii WH 8501	50
Q4C9D8	Q4C9D8_CROWT	CwatDRAFT_6373	Crocosphaera watsonii WH 8501	292
Q4C0X7	Q4C0X7_CROWT	CwatDRAFT_2651	Crocosphaera watsonii WH 8501	161
Q4BWQ8	Q4BWQ8_CROWT	CwatDRAFT_0847	Crocosphaera watsonii WH 8501	417
Q4BV28	Q4BV28_CROWT	xseA CwatDRAFT_0111	Crocosphaera watsonii WH 8501	384
Q4C1P7	Q4C1P7_CROWT	nth CwatDRAFT_3216	Crocosphaera watsonii WH 8501	211
Q4BYC8	Q4BYC8_CROWT	clpP CwatDRAFT_1738	Crocosphaera watsonii WH 8501	202
Q4C3B6	Q4C3B6_CROWT	pdxH CwatDRAFT_3602	Crocosphaera watsonii WH 8501	212
Q4C8X2	Q4C8X2_CROWT	psbV CwatDRAFT_5304	Crocosphaera watsonii WH 8501	161
Q4C8J1	Q4C8J1_CROWT	CwatDRAFT_5389	Crocosphaera watsonii WH 8501	203
Q4BWL2	Q4BWL2_CROWT	CwatDRAFT_1118	Crocosphaera watsonii WH 8501	167
Q4C4Q1	Q4C4Q1_CROWT	CwatDRAFT_4225	Crocosphaera watsonii WH 8501	299
Q4BZP3	Q4BZP3_CROWT	rpmG rpl33 CwatDRAFT_2158	Crocosphaera watsonii WH 8501	64
Q4BXZ0	Q4BXZ0_CROWT	CwatDRAFT_1440	Crocosphaera watsonii WH 8501	682
Q4C1D3	Q4C1D3_CROWT	gcvP CwatDRAFT_2812	Crocosphaera watsonii WH 8501	985
Q4C113	Q4C113_CROWT	rpsS rps19 CwatDRAFT_2443	Crocosphaera watsonii WH 8501	92
Q4C9N6	Q4C9N6_CROWT	CwatDRAFT_6311	Crocosphaera watsonii WH 8501	148
Q4C2T2	Q4C2T2_CROWT	CwatDRAFT_3102	Crocosphaera watsonii WH 8501	167
Q4CB13	Q4CB13_CROWT	CwatDRAFT_6027	Crocosphaera watsonii WH 8501	106
Q4BWQ4	Q4BWQ4_CROWT	CwatDRAFT_0842	Crocosphaera watsonii WH 8501	490
Q4C9R9	Q4C9R9_CROWT	CwatDRAFT_6502	Crocosphaera watsonii WH 8501	62
Q4C8A3	Q4C8A3_CROWT	CwatDRAFT_5822	Crocosphaera watsonii WH 8501	638
Q4BV73	Q4BV73_CROWT	CwatDRAFT_0433	Crocosphaera watsonii WH 8501	386
Q4C3Q5	Q4C3Q5_CROWT	tal CwatDRAFT_3782	Crocosphaera watsonii WH 8501	390
Q4C114	Q4C114_CROWT	rplB rpl2 CwatDRAFT_2442	Crocosphaera watsonii WH 8501	275
Q4BV72	Q4BV72_CROWT	CwatDRAFT_0431	Crocosphaera watsonii WH 8501	350
Q4BY91	Q4BY91_CROWT	CwatDRAFT_0929	Crocosphaera watsonii WH 8501	468
Q4C0V2	Q4C0V2_CROWT	CwatDRAFT_2547	Crocosphaera watsonii WH 8501	138
Q4C9I0	Q4C9I0_CROWT	CwatDRAFT_6337	Crocosphaera watsonii WH 8501	469
Q4C8Y4	Q4C8Y4_CROWT	CwatDRAFT_5297	Crocosphaera watsonii WH 8501	240
Q4BXV4	Q4BXV4_CROWT	CwatDRAFT_2036	Crocosphaera watsonii WH 8501	322
Q4C7I3	Q4C7I3_CROWT	argC CwatDRAFT_5589	Crocosphaera watsonii WH 8501	352
Q4C1T4	Q4C1T4_CROWT	CwatDRAFT_2488	Crocosphaera watsonii WH 8501	114
Q4C2X1	Q4C2X1_CROWT	CwatDRAFT_3835	Crocosphaera watsonii WH 8501	644
Q4C3U9	Q4C3U9_CROWT	ftsH CwatDRAFT_3919	Crocosphaera watsonii WH 8501	636
Q4C3H1	Q4C3H1_CROWT	CwatDRAFT_3677	Crocosphaera watsonii WH 8501	280
Q4C4F8	Q4C4F8_CROWT	rpmB rpl28 CwatDRAFT_4096	Crocosphaera watsonii WH 8501	78
Q4C531	Q4C531_CROWT	CwatDRAFT_4347	Crocosphaera watsonii WH 8501	620
Q4C980	Q4C980_CROWT	gltX CwatDRAFT_5986	Crocosphaera watsonii WH 8501	483
Q4C6P8	Q4C6P8_CROWT	folE CwatDRAFT_5117	Crocosphaera watsonii WH 8501	218
Q4C6X5	Q4C6X5_CROWT	CwatDRAFT_5152	Crocosphaera watsonii WH 8501	294
Q4C7P6	Q4C7P6_CROWT	CwatDRAFT_5712	Crocosphaera watsonii WH 8501	1119
Q4BZT6	Q4BZT6_CROWT	CwatDRAFT_2251	Crocosphaera watsonii WH 8501	353
Q4BVD0	Q4BVD0_CROWT	CwatDRAFT_0445	Crocosphaera watsonii WH 8501	479
Q4C743	Q4C743_CROWT	lgt CwatDRAFT_5189	Crocosphaera watsonii WH 8501	276
Q4C8D4	Q4C8D4_CROWT	CwatDRAFT_5423	Crocosphaera watsonii WH 8501	450
Q4BX78	Q4BX78_CROWT	CwatDRAFT_1271	Crocosphaera watsonii WH 8501	375
Q4C161	Q4C161_CROWT	CwatDRAFT_3034	Crocosphaera watsonii WH 8501	195
Q4BYS2	Q4BYS2_CROWT	CwatDRAFT_1600	Crocosphaera watsonii WH 8501	369
Q4C9L7	Q4C9L7_CROWT	nadE CwatDRAFT_6471	Crocosphaera watsonii WH 8501	562
Q4C159	Q4C159_CROWT	rplE rpl5 CwatDRAFT_2390	Crocosphaera watsonii WH 8501	181
Q4BWT5	Q4BWT5_CROWT	CwatDRAFT_0955	Crocosphaera watsonii WH 8501	373
Q4CA53	Q4CA53_CROWT	CwatDRAFT_6569	Crocosphaera watsonii WH 8501	498
Q4CAX0	Q4CAX0_CROWT	trpC CwatDRAFT_6707	Crocosphaera watsonii WH 8501	295
Q4C4M0	Q4C4M0_CROWT	CwatDRAFT_4186	Crocosphaera watsonii WH 8501	678
Q4C2A8	Q4C2A8_CROWT	CwatDRAFT_3434	Crocosphaera watsonii WH 8501	1046
Q4C157	Q4C157_CROWT	rplF rpl6 CwatDRAFT_2392	Crocosphaera watsonii WH 8501	179
Q4C7X1	Q4C7X1_CROWT	CwatDRAFT_5747	Crocosphaera watsonii WH 8501	400
Q4BWZ3	Q4BWZ3_CROWT	CwatDRAFT_1236	Crocosphaera watsonii WH 8501	374
Q4BXQ8	Q4BXQ8_CROWT	CwatDRAFT_1070	Crocosphaera watsonii WH 8501	772
Q4C8V0	Q4C8V0_CROWT	CwatDRAFT_5921	Crocosphaera watsonii WH 8501	229
Q4CA70	Q4CA70_CROWT	CwatDRAFT_6206	Crocosphaera watsonii WH 8501	462
Q4C3U2	Q4C3U2_CROWT	CwatDRAFT_3915	Crocosphaera watsonii WH 8501	217
Q4C2Z2	Q4C2Z2_CROWT	CwatDRAFT_3842	Crocosphaera watsonii WH 8501	236
Q4C755	Q4C755_CROWT	thf1 CwatDRAFT_4897	Crocosphaera watsonii WH 8501	245
Q4BY92	Q4BY92_CROWT	CwatDRAFT_0928	Crocosphaera watsonii WH 8501	223
Q4C0P6	Q4C0P6_CROWT	tatA CwatDRAFT_2619	Crocosphaera watsonii WH 8501	95
Q4C5C3	Q4C5C3_CROWT	pnp CwatDRAFT_4563	Crocosphaera watsonii WH 8501	715
Q4BZX6	Q4BZX6_CROWT	CwatDRAFT_2003	Crocosphaera watsonii WH 8501	142
Q4C6E8	Q4C6E8_CROWT	murI CwatDRAFT_5050	Crocosphaera watsonii WH 8501	281
Q4BXT0	Q4BXT0_CROWT	hisS CwatDRAFT_1304	Crocosphaera watsonii WH 8501	426
Q4BXJ8	Q4BXJ8_CROWT	map CwatDRAFT_1561	Crocosphaera watsonii WH 8501	253
Q4C1H0	Q4C1H0_CROWT	CwatDRAFT_3384	Crocosphaera watsonii WH 8501	541
Q4C8X7	Q4C8X7_CROWT	CwatDRAFT_5933	Crocosphaera watsonii WH 8501	260
Q4C2Y6	Q4C2Y6_CROWT	CwatDRAFT_3820	Crocosphaera watsonii WH 8501	511
Q4C431	Q4C431_CROWT	rpmA rpl27 CwatDRAFT_3730	Crocosphaera watsonii WH 8501	87
Q4C5D1	Q4C5D1_CROWT	CwatDRAFT_4558	Crocosphaera watsonii WH 8501	280
Q4BY62	Q4BY62_CROWT	moaA CwatDRAFT_1411	Crocosphaera watsonii WH 8501	329
Q4BUU1	Q4BUU1_CROWT	psbC CwatDRAFT_0143	Crocosphaera watsonii WH 8501	458
Q4C8I5	Q4C8I5_CROWT	CwatDRAFT_5395	Crocosphaera watsonii WH 8501	110
Q4CA34	Q4CA34_CROWT	CwatDRAFT_6557	Crocosphaera watsonii WH 8501	125
Q4C0E4	Q4C0E4_CROWT	CwatDRAFT_3164	Crocosphaera watsonii WH 8501	109
Q4BZC3	Q4BZC3_CROWT	CwatDRAFT_2518	Crocosphaera watsonii WH 8501	292
Q4BWW1	Q4BWW1_CROWT	CwatDRAFT_1034	Crocosphaera watsonii WH 8501	249
Q4C7D1	Q4C7D1_CROWT	petG CwatDRAFT_5636	Crocosphaera watsonii WH 8501	46
Q4C228	Q4C228_CROWT	CwatDRAFT_3000	Crocosphaera watsonii WH 8501	334
Q4BW95	Q4BW95_CROWT	CwatDRAFT_0917	Crocosphaera watsonii WH 8501	240
Q4C723	Q4C723_CROWT	ahcY CwatDRAFT_5181	Crocosphaera watsonii WH 8501	425
Q4C1D9	Q4C1D9_CROWT	clpX CwatDRAFT_2952	Crocosphaera watsonii WH 8501	444
Q4BYC5	Q4BYC5_CROWT	CwatDRAFT_1739	Crocosphaera watsonii WH 8501	328
Q4C7G1	Q4C7G1_CROWT	CwatDRAFT_5597	Crocosphaera watsonii WH 8501	294
Q4CAC9	Q4CAC9_CROWT	dxs CwatDRAFT_6606	Crocosphaera watsonii WH 8501	636
Q4BXG7	Q4BXG7_CROWT	purE CwatDRAFT_2211	Crocosphaera watsonii WH 8501	188
Q4C3T1	Q4C3T1_CROWT	CwatDRAFT_3768	Crocosphaera watsonii WH 8501	664
Q4C234	Q4C234_CROWT	era CwatDRAFT_3013	Crocosphaera watsonii WH 8501	314
Q4C059	Q4C059_CROWT	CwatDRAFT_2106	Crocosphaera watsonii WH 8501	320
Q4BXX1	Q4BXX1_CROWT	CwatDRAFT_1378	Crocosphaera watsonii WH 8501	94
Q4C4D5	Q4C4D5_CROWT	mnmA CwatDRAFT_4024	Crocosphaera watsonii WH 8501	349
Q4C4V5	Q4C4V5_CROWT	ftsZ CwatDRAFT_4290	Crocosphaera watsonii WH 8501	419
Q4BXN9	Q4BXN9_CROWT	CwatDRAFT_1820	Crocosphaera watsonii WH 8501	452
Q4C600	Q4C600_CROWT	CwatDRAFT_4804	Crocosphaera watsonii WH 8501	252
Q4C8Y9	Q4C8Y9_CROWT	thiC CwatDRAFT_5939	Crocosphaera watsonii WH 8501	459
Q4BWC5	Q4BWC5_CROWT	CwatDRAFT_1360	Crocosphaera watsonii WH 8501	365
Q4C735	Q4C735_CROWT	gmhA CwatDRAFT_4903	Crocosphaera watsonii WH 8501	196
Q4C8X4	Q4C8X4_CROWT	murB CwatDRAFT_5931	Crocosphaera watsonii WH 8501	304
Q4C810	Q4C810_CROWT	uvrB CwatDRAFT_5490	Crocosphaera watsonii WH 8501	680
Q4C145	Q4C145_CROWT	rplM rpl13 CwatDRAFT_2404	Crocosphaera watsonii WH 8501	161
Q4C9C9	Q4C9C9_CROWT	CwatDRAFT_6425	Crocosphaera watsonii WH 8501	162
Q4C2I9	Q4C2I9_CROWT	CwatDRAFT_3403	Crocosphaera watsonii WH 8501	310
Q4C6Q8	Q4C6Q8_CROWT	CwatDRAFT_4985	Crocosphaera watsonii WH 8501	290
Q4BZC2	Q4BZC2_CROWT	CwatDRAFT_2525	Crocosphaera watsonii WH 8501	70
Q4C5W6	Q4C5W6_CROWT	CwatDRAFT_4784	Crocosphaera watsonii WH 8501	223
Q4BYS8	Q4BYS8_CROWT	CwatDRAFT_1603	Crocosphaera watsonii WH 8501	596
Q4C5U5	Q4C5U5_CROWT	CwatDRAFT_4772	Crocosphaera watsonii WH 8501	88
Q4CAE1	Q4CAE1_CROWT	hpf CwatDRAFT_6160	Crocosphaera watsonii WH 8501	199
Q4BXC3	Q4BXC3_CROWT	CwatDRAFT_1025	Crocosphaera watsonii WH 8501	307
Q4BUN4	Q4BUN4_CROWT	CwatDRAFT_0270	Crocosphaera watsonii WH 8501	835
Q4C6N9	Q4C6N9_CROWT	CwatDRAFT_4989	Crocosphaera watsonii WH 8501	138
Q4BYX5	Q4BYX5_CROWT	CwatDRAFT_1781	Crocosphaera watsonii WH 8501	318
Q4BY96	Q4BY96_CROWT	CwatDRAFT_0935	Crocosphaera watsonii WH 8501	90
Q4C707	Q4C707_CROWT	CwatDRAFT_4917	Crocosphaera watsonii WH 8501	165
Q4C5H5	Q4C5H5_CROWT	CwatDRAFT_4529	Crocosphaera watsonii WH 8501	406
Q4C1Q1	Q4C1Q1_CROWT	trmJ CwatDRAFT_2722	Crocosphaera watsonii WH 8501	248
Q4BXQ4	Q4BXQ4_CROWT	CwatDRAFT_1067	Crocosphaera watsonii WH 8501	102
Q4C4I6	Q4C4I6_CROWT	CwatDRAFT_4117	Crocosphaera watsonii WH 8501	230
Q4C0S1	Q4C0S1_CROWT	CwatDRAFT_2893	Crocosphaera watsonii WH 8501	213
Q4C5E1	Q4C5E1_CROWT	CwatDRAFT_4549	Crocosphaera watsonii WH 8501	360
Q4C4B4	Q4C4B4_CROWT	CwatDRAFT_3991	Crocosphaera watsonii WH 8501	347
Q4C2U7	Q4C2U7_CROWT	CwatDRAFT_4034	Crocosphaera watsonii WH 8501	213
Q4C3D4	Q4C3D4_CROWT	CwatDRAFT_3669	Crocosphaera watsonii WH 8501	446
Q4C187	Q4C187_CROWT	crcB CwatDRAFT_3048	Crocosphaera watsonii WH 8501	125
Q4CB16	Q4CB16_CROWT	CwatDRAFT_6024	Crocosphaera watsonii WH 8501	236
Q4C774	Q4C774_CROWT	CwatDRAFT_5220	Crocosphaera watsonii WH 8501	691
Q4BVJ2	Q4BVJ2_CROWT	CwatDRAFT_0521	Crocosphaera watsonii WH 8501	385
Q4BVY4	Q4BVY4_CROWT	CwatDRAFT_0406	Crocosphaera watsonii WH 8501	219
Q4BXM8	Q4BXM8_CROWT	CwatDRAFT_1590	Crocosphaera watsonii WH 8501	80
Q4BYA8	Q4BYA8_CROWT	CwatDRAFT_1557	Crocosphaera watsonii WH 8501	226
Q4C787	Q4C787_CROWT	CwatDRAFT_5225	Crocosphaera watsonii WH 8501	90
Q4C2Z3	Q4C2Z3_CROWT	CwatDRAFT_3843	Crocosphaera watsonii WH 8501	95
Q4CAQ5	Q4CAQ5_CROWT	CwatDRAFT_6091	Crocosphaera watsonii WH 8501	350
Q4C9H5	Q4C9H5_CROWT	CwatDRAFT_6440	Crocosphaera watsonii WH 8501	422
Q4C753	Q4C753_CROWT	CwatDRAFT_5200	Crocosphaera watsonii WH 8501	71
Q4C8D0	Q4C8D0_CROWT	CwatDRAFT_5425	Crocosphaera watsonii WH 8501	595
Q4C3V5	Q4C3V5_CROWT	CwatDRAFT_3900	Crocosphaera watsonii WH 8501	243
Q4BV80	Q4BV80_CROWT	CwatDRAFT_0577	Crocosphaera watsonii WH 8501	425
Q4C9E8	Q4C9E8_CROWT	CwatDRAFT_6362	Crocosphaera watsonii WH 8501	294
Q4BUX5	Q4BUX5_CROWT	CwatDRAFT_0378	Crocosphaera watsonii WH 8501	350
Q4C6G9	Q4C6G9_CROWT	CwatDRAFT_5076	Crocosphaera watsonii WH 8501	199
Q4C2G3	Q4C2G3_CROWT	CwatDRAFT_3344	Crocosphaera watsonii WH 8501	167
Q4CAR7	Q4CAR7_CROWT	CwatDRAFT_6679	Crocosphaera watsonii WH 8501	415
Q4C459	Q4C459_CROWT	CwatDRAFT_4138	Crocosphaera watsonii WH 8501	304
Q4BX24	Q4BX24_CROWT	CwatDRAFT_0613	Crocosphaera watsonii WH 8501	215
Q4C5P6	Q4C5P6_CROWT	CwatDRAFT_4486	Crocosphaera watsonii WH 8501	880
Q4BXJ4	Q4BXJ4_CROWT	CwatDRAFT_1570	Crocosphaera watsonii WH 8501	107
Q4C2Z1	Q4C2Z1_CROWT	CwatDRAFT_3815	Crocosphaera watsonii WH 8501	490
Q4C3R9	Q4C3R9_CROWT	CwatDRAFT_3777	Crocosphaera watsonii WH 8501	451
Q4C0C8	Q4C0C8_CROWT	CwatDRAFT_2428	Crocosphaera watsonii WH 8501	246
Q4C5H1	Q4C5H1_CROWT	prmC CwatDRAFT_4534	Crocosphaera watsonii WH 8501	301
Q4C445	Q4C445_CROWT	murJ CwatDRAFT_3723	Crocosphaera watsonii WH 8501	536
Q4C888	Q4C888_CROWT	CwatDRAFT_5816	Crocosphaera watsonii WH 8501	275
Q4BY34	Q4BY34_CROWT	CwatDRAFT_1640	Crocosphaera watsonii WH 8501	420
Q4C8X3	Q4C8X3_CROWT	murC CwatDRAFT_5930	Crocosphaera watsonii WH 8501	503
Q4BZP2	Q4BZP2_CROWT	rpsR rps18 CwatDRAFT_2159	Crocosphaera watsonii WH 8501	71
Q4BX48	Q4BX48_CROWT	CwatDRAFT_1892	Crocosphaera watsonii WH 8501	305
Q4BWB7	Q4BWB7_CROWT	CwatDRAFT_0778	Crocosphaera watsonii WH 8501	233
Q4C509	Q4C509_CROWT	CwatDRAFT_4399	Crocosphaera watsonii WH 8501	334
Q4BXS3	Q4BXS3_CROWT	CwatDRAFT_1310	Crocosphaera watsonii WH 8501	235
Q4C2I7	Q4C2I7_CROWT	CwatDRAFT_3405	Crocosphaera watsonii WH 8501	72
Q4C5I9	Q4C5I9_CROWT	CwatDRAFT_4522	Crocosphaera watsonii WH 8501	222
Q4BZC7	Q4BZC7_CROWT	CwatDRAFT_2526	Crocosphaera watsonii WH 8501	137
Q4C4W9	Q4C4W9_CROWT	CwatDRAFT_4299	Crocosphaera watsonii WH 8501	128
Q4BVN5	Q4BVN5_CROWT	CwatDRAFT_0321	Crocosphaera watsonii WH 8501	99
Q4BYL9	Q4BYL9_CROWT	CwatDRAFT_2185	Crocosphaera watsonii WH 8501	451
Q4C6S5	Q4C6S5_CROWT	CwatDRAFT_4973	Crocosphaera watsonii WH 8501	98
Q4C5S2	Q4C5S2_CROWT	CwatDRAFT_4651	Crocosphaera watsonii WH 8501	249
Q4C7T9	Q4C7T9_CROWT	CwatDRAFT_5536	Crocosphaera watsonii WH 8501	192
